Unique_Author,File_changed,Insertions,Deletions,Issue
Hiran Sarkar,16,95,75,0
wenwu,1,0,0,0
Kevin Cheng,5,2636,1659,0
Frederic Bastien,581,8708,4817,0
Markus Kunesch,2,42,25,0
Robert Neale,16,736,55,0
Cesar Crusius,156,5255,2750,0
xiaohong1031,133,1551,3417,3
Zachary Garrett,47,874,65,0
Liubov Batanina,2,14,8,0
Alan Green,2,3,0,0
bhack,198,3211,2174,0
Aleksandr Nikolaev,23,265,52,0
Jose Baiocchi,841,7896,5173,0
Yuanzhong Xu,842,52876,8990,1
Koan-Sin Tan,304,2318,948,0
Billy Lamberta,837,16817,25663,2
Jeremy Meredith,54,959,762,0
Kibeom Kim,462,5749,3041,0
Richard Uhler,96,1767,699,0
Saduf2019,5,2,2,0
François Chollet,3,4,5,0
Yujing Zhang,714,11673,21231,3
Nick Felt,302,6124,4675,1
Adam Hillier,6,12,14,0
Justin Lebar,4118,63957,40604,0
Brian Patton,333,8923,2267,0
Ian Kivlichan,3,51,44,0
Johannes Ballé,4,22,9,0
ddavis-2015,207,8982,5314,0
Ihor Indyk,57,2857,1110,0
Jake VanderPlas,3,28,0,0
Jim Fisher,3,3,3,0
Chuan He,92,3283,637,0
Aditya Kane,18,34,15,0
Deven Desai,1085,26592,7309,0
Cheng Ren,4,35,5,0
Aadhitya A,6,2,6,0
stevenireeves,12,136,112,0
root,1,7,0,0
Daniel Situnayake,267,11473,4777,0
Neil Girdhar,3,6,6,0
Gabriele Macchi,2,3,4,0
Yasir Modak,16,24,14,0
Ce Zheng,103,4610,1506,0
Pankaj Kanwar,226,8755,3452,0
Prashant Kumar,7,346,8,0
Abhilash Mahendrakar,4,3,7,0
Blake Hechtman,542,12023,4795,2
Sheng Yang,42,1687,521,0
Rama ketineni,1,0,0,0
Nirjas Jakilim,1,0,0,0
QQ喵,5,12,10,0
Rama Ketineni,6,161,42,0
Stella Laurenzo,444,31625,4503,0
Johannes Lade,1,2,2,0
David Rim,214,17528,1757,0
Shanqing Cai,3359,125122,41084,25
Srinivas Vasudevan,450,14369,2742,0
Jens Meder,1,0,0,0
Dmitry Kovalev,52,390,308,0
zilinzhu,141,2301,953,0
Vishnuvardhan Janapati,41,232,120,0
Xiaoming (Jason) Cui,122,1620,2092,3
Hao Xiong,11,63,24,0
Ilya Arzhannikov,9,37,30,0
Ryan Nett,33,399,83,0
Randy Dodgen,53,906,495,0
Jerry Shih,44,722,191,0
Paul Donnelly,153,3373,1735,0
Francois Chollet,5239,157488,61166,13
Jake Vanderplas,1,41,2,0
Bas Aarts,94,853,428,0
Bradley Reece,1,0,0,1
Juhyun Lee,1605,55929,18835,0
Tayo Oguntebi,149,3062,1125,0
Philip Sun,14,156,95,0
Chen Chen,101,403,381,0
Sergei Lebedev,807,12864,12456,0
Piergiacomo De Marchi,1,5,0,0
Till Brychcy,1,2,0,0
Jiho Choi,517,8561,3586,0
TensorFlow Release Automation,1,31,0,0
Penporn Koanantakool,555,30841,15605,2
Abhijit Karmarkar,7,59,18,0
Thomas O'Malley,1486,29165,14940,7
DEKHTIARJonathan,52,1776,992,0
Tamas Bela Feher,268,10448,5606,0
Shaochen Shi,21,307,89,0
Yilei Yang,35,464,327,0
Yair Ehrenwald,167,12008,3530,0
wxinix,1,0,2,0
彭震东,1,0,0,0
Yimei Sun,12,367,120,0
Niroop Ammbashankar,1,0,0,0
Joachim Gehweiler,3,0,7,0
jgehw,16,70,5,0
ag.ramesh,92,627,432,0
Guanxin Qiao,1,15,0,0
Yuriy Chernyshov,4,7,7,0
Cuong V. Nguyen,1,0,0,0
fsx950223,44,472,196,0
Noam Shazeer,1,12,5,0
Zhoulong Jiang,216,4632,1392,1
Xinyi Wang,148,4504,1487,0
Hye Soo Yang,630,12985,3201,3
Mangpo Phothilimthana,18,146,51,1
Allen Wang,47,3065,78,0
PratsBhatt,5,120,40,0
Kulin Seth,9,140,12,0
Lev Proleev,37,2004,367,0
Sunoru,4,76,65,0
