Name,Year,Quarter,File_Changed,Insertions,Deletions
A. Unique TensorFlower,2021,Q1,3035,54692,34926
A. Unique TensorFlower,2021,Q2,1107,24570,21418
A. Unique TensorFlower,2021,Q3,0,0,0
A. Unique TensorFlower,2021,Q4,0,0,0
A. Unique TensorFlower,2020,Q1,4813,107100,61891
A. Unique TensorFlower,2020,Q2,5184,200410,50256
A. Unique TensorFlower,2020,Q3,3818,93483,71821
A. Unique TensorFlower,2020,Q4,2679,62249,39214
A. Unique TensorFlower,2019,Q1,4544,307678,110702
A. Unique TensorFlower,2019,Q2,4750,3563824,3513576
A. Unique TensorFlower,2019,Q3,5639,570257,487854
A. Unique TensorFlower,2019,Q4,3471,120328,68201
A. Unique TensorFlower,2018,Q1,5482,290367,178443
A. Unique TensorFlower,2018,Q2,6026,195958,101799
A. Unique TensorFlower,2018,Q3,5540,173703,68318
A. Unique TensorFlower,2018,Q4,4619,162192,77118
A. Unique TensorFlower,2017,Q1,6175,232252,301922
A. Unique TensorFlower,2017,Q2,5736,276123,81270
A. Unique TensorFlower,2017,Q3,4722,177126,88142
A. Unique TensorFlower,2017,Q4,4642,191790,104076
A. Unique TensorFlower,2016,Q1,2324,82946,36428
A. Unique TensorFlower,2016,Q2,21224,212072,51189
A. Unique TensorFlower,2016,Q3,6101,248687,75906
A. Unique TensorFlower,2016,Q4,7187,211374,100675
A. Unique TensorFlower,2015,Q1,0,0,0
A. Unique TensorFlower,2015,Q2,0,0,0
A. Unique TensorFlower,2015,Q3,0,0,0
A. Unique TensorFlower,2015,Q4,174,1702,1402
Jiri Simsa,2021,Q1,383,5402,7636
Jiri Simsa,2021,Q2,469,9030,10475
Jiri Simsa,2021,Q3,0,0,0
Jiri Simsa,2021,Q4,0,0,0
Jiri Simsa,2020,Q1,290,2533,1427
Jiri Simsa,2020,Q2,242,5730,3461
Jiri Simsa,2020,Q3,77,1693,1423
Jiri Simsa,2020,Q4,33,498,249
Jiri Simsa,2019,Q1,356,5135,3718
Jiri Simsa,2019,Q2,554,7490,9415
Jiri Simsa,2019,Q3,705,9282,7048
Jiri Simsa,2019,Q4,237,4798,3922
Jiri Simsa,2018,Q1,6,69,25
Jiri Simsa,2018,Q2,417,19484,5318
Jiri Simsa,2018,Q3,505,12481,6380
Jiri Simsa,2018,Q4,658,15284,12745
Jiri Simsa,2017,Q1,0,0,0
Jiri Simsa,2017,Q2,0,0,0
Jiri Simsa,2017,Q3,96,680,531
Jiri Simsa,2017,Q4,229,7804,3451
Chao Mei,2021,Q1,46,786,206
Chao Mei,2021,Q2,45,509,237
Chao Mei,2021,Q3,0,0,0
Chao Mei,2021,Q4,0,0,0
Chao Mei,2020,Q1,140,3259,1477
Chao Mei,2020,Q2,238,4124,2029
Chao Mei,2020,Q3,142,1796,3544
Chao Mei,2020,Q4,41,407,339
Chao Mei,2019,Q1,0,0,0
